drug_name,excp_name,drug_smile,excp_smile,pair_smile,class
Erlotinib,IR783,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,CC1(C2=CC=CC=C2[N+](=C1C=CC3=C(C(=CC=C4C(C5=CC=CC=C5N4CCCCS(=O)(=O)[O-])(C)C)CCC3)Cl)CCCCS(=O)(=O)O)C,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC.CC1(C2=CC=CC=C2[N+](=C1C=CC3=C(C(=CC=C4C(C5=CC=CC=C5N4CCCCS(=O)(=O)[O-])(C)C)CCC3)Cl)CCCCS(=O)(=O)O)C,0
Camptothecin,IR783,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,CC1(C2=CC=CC=C2[N+](=C1C=CC3=C(C(=CC=C4C(C5=CC=CC=C5N4CCCCS(=O)(=O)[O-])(C)C)CCC3)Cl)CCCCS(=O)(=O)O)C,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O.CC1(C2=CC=CC=C2[N+](=C1C=CC3=C(C(=CC=C4C(C5=CC=CC=C5N4CCCCS(=O)(=O)[O-])(C)C)CCC3)Cl)CCCCS(=O)(=O)O)C,0
Sunitinib,IR783,CCN(CC)CCNC(=O)C1=C(NC(=C1C)C=C2C3=C(C=CC(=C3)F)NC2=O)C,CC1(C2=CC=CC=C2[N+](=C1C=CC3=C(C(=CC=C4C(C5=CC=CC=C5N4CCCCS(=O)(=O)[O-])(C)C)CCC3)Cl)CCCCS(=O)(=O)O)C,CCN(CC)CCNC(=O)C1=C(NC(=C1C)C=C2C3=C(C=CC(=C3)F)NC2=O)C.CC1(C2=CC=CC=C2[N+](=C1C=CC3=C(C(=CC=C4C(C5=CC=CC=C5N4CCCCS(=O)(=O)[O-])(C)C)CCC3)Cl)CCCCS(=O)(=O)O)C,0
Idelalisib,IR783,CCC(C1=NC2=C(C(=CC=C2)F)C(=O)N1C3=CC=CC=C3)NC4=NC=NC5=C4NC=N5,CC1(C2=CC=CC=C2[N+](=C1C=CC3=C(C(=CC=C4C(C5=CC=CC=C5N4CCCCS(=O)(=O)[O-])(C)C)CCC3)Cl)CCCCS(=O)(=O)O)C,CCC(C1=NC2=C(C(=CC=C2)F)C(=O)N1C3=CC=CC=C3)NC4=NC=NC5=C4NC=N5.CC1(C2=CC=CC=C2[N+](=C1C=CC3=C(C(=CC=C4C(C5=CC=CC=C5N4CCCCS(=O)(=O)[O-])(C)C)CCC3)Cl)CCCCS(=O)(=O)O)C,0
Taselisib,IR783,CC1=NN(C(=N1)C2=CN3CCOC4=C(C3=N2)C=CC(=C4)C5=CN(N=C5)C(C)(C)C(=O)N)C(C)C,CC1(C2=CC=CC=C2[N+](=C1C=CC3=C(C(=CC=C4C(C5=CC=CC=C5N4CCCCS(=O)(=O)[O-])(C)C)CCC3)Cl)CCCCS(=O)(=O)O)C,CC1=NN(C(=N1)C2=CN3CCOC4=C(C3=N2)C=CC(=C4)C5=CN(N=C5)C(C)(C)C(=O)N)C(C)C.CC1(C2=CC=CC=C2[N+](=C1C=CC3=C(C(=CC=C4C(C5=CC=CC=C5N4CCCCS(=O)(=O)[O-])(C)C)CCC3)Cl)CCCCS(=O)(=O)O)C,0
Selumetinib,IR783,CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)Cl)C(=O)NOCCO,CC1(C2=CC=CC=C2[N+](=C1C=CC3=C(C(=CC=C4C(C5=CC=CC=C5N4CCCCS(=O)(=O)[O-])(C)C)CCC3)Cl)CCCCS(=O)(=O)O)C,CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)Cl)C(=O)NOCCO.CC1(C2=CC=CC=C2[N+](=C1C=CC3=C(C(=CC=C4C(C5=CC=CC=C5N4CCCCS(=O)(=O)[O-])(C)C)CCC3)Cl)CCCCS(=O)(=O)O)C,0
Silvestrol,IR783,COC1C(OC(CO1)C(CO)O)OC2=CC3=C(C(=C2)OC)C4(C(C(C(C4(O3)C5=CC=C(C=C5)OC)C6=CC=CC=C6)C(=O)OC)O)O,CC1(C2=CC=CC=C2[N+](=C1C=CC3=C(C(=CC=C4C(C5=CC=CC=C5N4CCCCS(=O)(=O)[O-])(C)C)CCC3)Cl)CCCCS(=O)(=O)O)C,COC1C(OC(CO1)C(CO)O)OC2=CC3=C(C(=C2)OC)C4(C(C(C(C4(O3)C5=CC=C(C=C5)OC)C6=CC=CC=C6)C(=O)OC)O)O.CC1(C2=CC=CC=C2[N+](=C1C=CC3=C(C(=CC=C4C(C5=CC=CC=C5N4CCCCS(=O)(=O)[O-])(C)C)CCC3)Cl)CCCCS(=O)(=O)O)C,0
Lapatinib,IR783,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,CC1(C2=CC=CC=C2[N+](=C1C=CC3=C(C(=CC=C4C(C5=CC=CC=C5N4CCCCS(=O)(=O)[O-])(C)C)CCC3)Cl)CCCCS(=O)(=O)O)C,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl.CC1(C2=CC=CC=C2[N+](=C1C=CC3=C(C(=CC=C4C(C5=CC=CC=C5N4CCCCS(=O)(=O)[O-])(C)C)CCC3)Cl)CCCCS(=O)(=O)O)C,0
Venetoclax,IR783,CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC(=C(C=C4)C(=O)NS(=O)(=O)C5=CC(=C(C=C5)NCC6CCOCC6)[N+](=O)[O-])OC7=CN=C8C(=C7)C=CN8)C,CC1(C2=CC=CC=C2[N+](=C1C=CC3=C(C(=CC=C4C(C5=CC=CC=C5N4CCCCS(=O)(=O)[O-])(C)C)CCC3)Cl)CCCCS(=O)(=O)O)C,CC1(CCC(=C(C1)C2=CC=C(C=C2)Cl)CN3CCN(CC3)C4=CC(=C(C=C4)C(=O)NS(=O)(=O)C5=CC(=C(C=C5)NCC6CCOCC6)[N+](=O)[O-])OC7=CN=C8C(=C7)C=CN8)C.CC1(C2=CC=CC=C2[N+](=C1C=CC3=C(C(=CC=C4C(C5=CC=CC=C5N4CCCCS(=O)(=O)[O-])(C)C)CCC3)Cl)CCCCS(=O)(=O)O)C,1
Docetaxel,IR783,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,CC1(C2=CC=CC=C2[N+](=C1C=CC3=C(C(=CC=C4C(C5=CC=CC=C5N4CCCCS(=O)(=O)[O-])(C)C)CCC3)Cl)CCCCS(=O)(=O)O)C,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O.CC1(C2=CC=CC=C2[N+](=C1C=CC3=C(C(=CC=C4C(C5=CC=CC=C5N4CCCCS(=O)(=O)[O-])(C)C)CCC3)Cl)CCCCS(=O)(=O)O)C,1
Rapamycin,IR783,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,CC1(C2=CC=CC=C2[N+](=C1C=CC3=C(C(=CC=C4C(C5=CC=CC=C5N4CCCCS(=O)(=O)[O-])(C)C)CCC3)Cl)CCCCS(=O)(=O)O)C,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC.CC1(C2=CC=CC=C2[N+](=C1C=CC3=C(C(=CC=C4C(C5=CC=CC=C5N4CCCCS(=O)(=O)[O-])(C)C)CCC3)Cl)CCCCS(=O)(=O)O)C,1
